Borough,Traffic_2018,Traffic_2019,Traffic_2020,Traffic_2021,Traffic_2022,Traffic_2023,Traffic_Change_5Y
City of London,149,150,117,128,121,120,-0.19463087248322147
Barking and Dagenham,660,661,559,603,641,634,-0.03939393939393939
Barnet,1794,1822,1448,1618,1647,1666,-0.0713489409141583
Bexley,1015,1034,869,964,992,995,-0.019704433497536946
Brent,999,1025,883,965,962,970,-0.02902902902902903
Bromley,1419,1469,1195,1368,1400,1409,-0.007047216349541931
Camden,489,483,392,435,445,441,-0.09815950920245399
Croydon,1333,1358,1136,1286,1319,1335,0.0015003750937734434
Ealing,1363,1370,1162,1257,1293,1265,-0.0719002201027146
Enfield,1776,1789,1442,1603,1764,1794,0.010135135135135136
Greenwich,1195,1204,1029,1145,1179,1196,0.0008368200836820083
Hackney,456,461,390,437,432,438,-0.039473684210526314
Hammersmith and Fulham,527,528,411,465,488,482,-0.08538899430740038
Haringey,547,558,454,508,511,512,-0.06398537477148081
Harrow,643,662,520,604,626,634,-0.013996889580093312
Havering,1794,1830,1565,1707,1777,1797,0.0016722408026755853
Hillingdon,2456,2499,1990,2233,2304,2311,-0.059039087947882735
Hounslow,1691,1760,1319,1494,1612,1636,-0.03252513305736251
Islington,389,390,316,351,363,363,-0.06683804627249357
Kensington and Chelsea,519,527,425,467,489,493,-0.05009633911368015
Kingston upon Thames,986,1010,813,936,948,956,-0.030425963488843813
Lambeth,752,762,626,706,732,738,-0.018617021276595744
Lewisham,757,770,633,714,712,716,-0.05416116248348745
Merton,663,677,545,617,636,644,-0.02865761689291101
Newham,953,944,805,837,877,892,-0.06400839454354669
Redbridge,1220,1210,1034,1113,1181,1149,-0.05819672131147541
Richmond upon Thames,857,877,701,785,806,817,-0.046674445740956826
Southwark,705,718,596,672,687,692,-0.018439716312056736
Sutton,712,731,615,693,734,735,0.032303370786516857
Tower Hamlets,878,876,737,804,822,826,-0.05922551252847381
Waltham Forest,849,835,715,769,776,790,-0.06949352179034157
Wandsworth,782,803,658,722,731,728,-0.06905370843989769
Westminster,848,825,641,693,716,722,-0.14858490566037735
